seed,model,variant,target_score,separable_lower,separable_upper,separable_bound_gap,certification_converged,certification_evaluations,certified_margin,certified_detected,witness_expectation_target,normalized_margin,estimated_boundary,boundary_error,pauli_cosine,fake_fidelity,fake_trace_distance,fake_negativity,target_output_mass,fake_output_mass,linearity_error,observable_norm,witness_norm,candidate,target_p,best_epoch_instant,best_epoch_ema,best_normalized_validation_gap_instant,best_normalized_validation_gap_ema,seconds,generator_parameters,discriminator_parameters,primary
36,qsnn,final_ema,0.33500278878132556,0.14484327743932318,0.14534327425478794,0.0004999968144647482,1,62935,0.18965951452653762,1,-0.18965951452653762,0.2398345722505303,0.40276105351315444,0.06942772017982113,0.9913862893831017,0.816571806244427,0.36705452440089087,0.0,0.9326042798260865,0.9231843157946942,2.220446049250313e-16,0.7217615535077888,0.790793056842614,q0_m90_d2_g5,0.6,820,480,0.2787844296997044,0.33898935623048554,39.632863000035286,80,46,0
36,vqc,best_ema,0.45470617572960687,0.13961044835465297,0.14011043639150708,0.0004999880358541042,1,98685,0.3145957393380998,1,-0.3145957393380998,0.30103327224863335,0.36847811410399045,0.035144780770657136,0.9957947998622756,0.9217818822889067,0.24020629215847653,0.0,0.9999999999999996,0.9999999999999994,3.3306690738754696e-16,0.9997450657299584,1.0450530500770185,v0_d2_g5,0.6,580,920,0.24709906283183755,0.3213390999893786,54.281369499862194,80,48,1
36,vqc,final_ema,0.44486672699627505,0.13152465081233589,0.13202464655067975,0.0004999957373438557,1,91141,0.3128420804455953,1,-0.3128420804455953,0.29446954688389465,0.3740742259416627,0.04074089260832936,0.9964307708440179,0.9243582726156686,0.22915461082371918,0.0,0.999999999999999,0.999999999999999,1.1102230246251565e-16,0.9995238976151115,1.062391964656857,v0_d2_g5,0.6,580,920,0.24709906283183755,0.3213390999893786,54.281369499862194,80,48,0
37,qsnn,best_ema,0.30588575767318005,0.04782957484020972,0.04832956838802965,0.0004999935468199337,1,172776,0.2575561892851504,1,-0.2575561892851504,0.348610891513624,0.3549085052069441,0.0215751718736108,0.9993371813661471,0.8096741212700304,0.4116206461562474,0.0,0.9397092511599174,0.9375932807795944,1.6653345369377348e-16,0.726482865639687,0.7388070641363909,q0_m90_d2_g5,0.6,900,1000,0.342532867076923,0.36060326915833996,39.503105599898845,80,46,1
37,qsnn,final_ema,0.30588575767318005,0.04782957484020972,0.04832956838802965,0.0004999935468199337,1,172776,0.2575561892851504,1,-0.2575561892851504,0.348610891513624,0.3549085052069441,0.0215751718736108,0.9993371813661471,0.8096741212700304,0.4116206461562474,0.0,0.9397092511599174,0.9375932807795944,1.6653345369377348e-16,0.726482865639687,0.7388070641363909,q0_m90_d2_g5,0.6,900,1000,0.342532867076923,0.36060326915833996,39.503105599898845,80,46,0
37,vqc,best_ema,0.43274190618796926,0.1553524878089531,0.1558524509519931,0.000499963142039983,1,60151,0.2768894552359762,1,-0.2768894552359762,0.2404384598434919,0.4028981452277974,0.06956481189446406,0.9888874496293966,0.906537638112997,0.25567190589409006,0.0,1.0000000000000002,1.0,1.6653345369377348e-16,0.9985288154699837,1.151602183012698,v0_d2_g5,0.6,1000,880,0.2366651018230822,0.2501602259716709,54.156202000100166,80,48,1
37,vqc,final_ema,0.43381944515158644,0.19812632204246444,0.19862631745046627,0.0004999954070018242,1,49179,0.23519312770112016,1,-0.23519312770112016,0.19724761220447234,0.43282760883386123,0.09949427550052792,0.9848919319391205,0.9236106460748587,0.23881786352439294,0.0,0.9999999999999992,0.9999999999999992,2.220446049250313e-16,0.9993940804667708,1.1923750309195755,v0_d2_g5,0.6,1000,880,0.2366651018230822,0.2501602259716709,54.156202000100166,80,48,0
38,qsnn,best_ema,0.10505509739280693,0.05846416525425255,0.0589640971612967,0.0004999319060441515,1,22633,0.04609100023151023,1,-0.04609100023151023,0.28885006952579717,0.37641110915598125,0.043077775822647935,0.9944697613193341,0.8120003157095841,0.3710365226225827,0.0,0.8598082631034626,0.8516977569623752,2.7755575615628914e-17,0.1878132673964237,0.1595672118313056,q0_m90_d2_g5,0.6,120,360,0.23852457026871146,0.3083972807906282,38.86501800012775,80,46,1
38,qsnn,final_ema,0.3154225575001494,0.09415628241105695,0.09465627647431964,0.0004999940622626847,1,93935,0.2207662810258298,1,-0.2207662810258298,0.27713398043211795,0.3798019659681387,0.046468632634805385,0.9935027369857868,0.8259726508848151,0.38930165568586006,0.0,0.9354151836467071,0.9298868542012906,2.7755575615628914e-16,0.7181203596396764,0.796604879277534,q0_m90_d2_g5,0.6,120,360,0.23852457026871146,0.3083972807906282,38.86501800012775,80,46,0
38,vqc,best_ema,0.4180169953558691,0.0483387205072115,0.04883871711620943,0.0004999966079979323,1,339123,0.3691782782396597,1,-0.3691782782396597,0.3545898090648322,0.34594622171577893,0.01261288838244562,0.9990846330530426,0.9301858157177642,0.24321048305845522,0.0,1.0000000000000002,1.0,1.1102230246251565e-16,0.9994755004666308,1.0411418173954352,v0_d2_g5,0.6,940,1000,0.3581727200085083,0.3629481302105788,54.21281010005623,80,48,1
