target_p,model,seed,candidate,variant,shots_per_pauli,repetitions,true_witness_expectation,theoretical_standard_error,mean_estimate,empirical_standard_deviation,certification_probability
0.6,vqc,31,v0_d2_g5,best_ema,1000,2000,-0.37007524505789613,0.021223284414180834,-0.37055595632308613,0.020963941865467135,1.0
0.6,vqc,31,v0_d2_g5,best_ema,5000,2000,-0.37007524505789613,0.009491341331184028,-0.36984227489968186,0.009623983808718609,1.0
0.6,vqc,31,v0_d2_g5,best_ema,10000,2000,-0.37007524505789613,0.00671139181783638,-0.3699220326956468,0.006595805273544434,1.0
0.6,qsnn,32,q0_m90_d2_g5,best_ema,100,2000,-0.18656278797475195,0.037115875876549374,-0.18592630572747126,0.03819655242391997,0.997
0.6,qsnn,32,q0_m90_d2_g5,best_ema,500,2000,-0.18656278797475195,0.016598724300881797,-0.1868683467234211,0.016682082453312156,1.0
0.6,qsnn,32,q0_m90_d2_g5,best_ema,1000,2000,-0.18656278797475195,0.011737070512199455,-0.18623679549587227,0.011692652139629278,1.0
0.6,qsnn,32,q0_m90_d2_g5,best_ema,5000,2000,-0.18656278797475195,0.005248977504397251,-0.18650256508661223,0.005374537232931525,1.0
0.6,qsnn,32,q0_m90_d2_g5,best_ema,10000,2000,-0.18656278797475195,0.0037115875876549374,-0.18657567930090208,0.003691793396285723,1.0
0.6,vqc,32,v0_d2_g5,best_ema,100,2000,-0.31696402239928567,0.06619976615158872,-0.3182886220877966,0.06551658882892229,0.998
0.6,vqc,32,v0_d2_g5,best_ema,500,2000,-0.31696402239928567,0.029605435441908412,-0.3159469114108366,0.02984044813757266,1.0
0.6,vqc,32,v0_d2_g5,best_ema,1000,2000,-0.31696402239928567,0.020934204160953988,-0.3177071485651458,0.02014491775847913,1.0
0.6,vqc,32,v0_d2_g5,best_ema,5000,2000,-0.31696402239928567,0.009362060711750414,-0.31684503627709215,0.009342405039536929,1.0
0.6,vqc,32,v0_d2_g5,best_ema,10000,2000,-0.31696402239928567,0.006619976615158873,-0.31700047463783665,0.006501861097775818,1.0
0.6,qsnn,33,q0_m90_d2_g5,best_ema,100,2000,-0.1415243906571878,0.02782702027702049,-0.14030127886609672,0.02785738163822487,0.997
