angle_degrees,fixed_pauli_measurement,fixed_pauli_success,helstrom_success,noise_model,noise_strength,phase_degrees,qsnn_helstrom_gap,qsnn_min_povm_eigenvalue,qsnn_success,qsnn_success_1024_shots,qsnn_success_128_shots,qsnn_success_512_shots,qsnn_train_seconds,qsnn_weighted_leakage,seed,unitary_helstrom_gap,unitary_success
45.0,X:+->1,0.5988261023488931,0.6339392013277814,depolarizing,0.3,37.0,0.00043811350597888765,0.00022871501222045332,0.6335010878218025,0.6318359375,0.6484375,0.630859375,0.3296505999751389,0.00022969699549180156,4,2.2426505097428162e-14,0.6339392013277589
60.0,X:+->1,0.6729096600163245,0.75,depolarizing,0.0,37.0,0.0007104962038961826,0.00020089777369724634,0.7492895037961038,0.7412109375,0.76171875,0.755859375,0.3418597001582384,0.00020243535025465942,0,5.995204332975845e-15,0.749999999999994
60.0,X:+->1,0.6729096600163245,0.75,depolarizing,0.0,37.0,0.0007191009742245624,0.0002009460245024336,0.7492808990257754,0.7509765625,0.7421875,0.74609375,0.3095421998295933,0.0002023837563364106,1,2.4424906541753444e-15,0.7499999999999976
60.0,X:+->1,0.6729096600163245,0.75,depolarizing,0.0,37.0,0.0007053835503882944,0.00020086230373126066,0.7492946164496117,0.75830078125,0.72265625,0.755859375,0.31873539998196065,0.00020246482445496206,2,1.8984813721090177e-14,0.749999999999981
60.0,X:+->1,0.6729096600163245,0.75,depolarizing,0.0,37.0,0.0006618020945986514,0.00020064147278655458,0.7493381979054013,0.76416015625,0.76171875,0.7333984375,0.32702620001509786,0.00020270596954907738,3,3.6637359812630166e-14,0.7499999999999634
60.0,X:+->1,0.6729096600163245,0.75,depolarizing,0.0,37.0,0.0007180724135826821,0.00020095046014624804,0.7492819275864173,0.74658203125,0.75390625,0.7294921875,0.32019140012562275,0.00020238938910865922,4,9.992007221626409e-16,0.749999999999999
60.0,X:+->1,0.6642641770155082,0.7375,depolarizing,0.05,37.0,0.0006819013211074587,0.00020354677642105037,0.7368180986788926,0.72900390625,0.75390625,0.744140625,0.33329660003073514,0.00020496976912265374,0,7.438494264988549e-15,0.7374999999999926
60.0,X:+->1,0.6642641770155082,0.7375,depolarizing,0.05,37.0,0.0006900786402392889,0.00020359349828679566,0.7368099213597608,0.73876953125,0.734375,0.7333984375,0.3197985999286175,0.00020492379470932187,1,1.3322676295501878e-15,0.7374999999999987
60.0,X:+->1,0.6642641770155082,0.7375,depolarizing,0.05,37.0,0.0006770428903395409,0.0002035130062262835,0.7368229571096605,0.74560546875,0.71484375,0.7431640625,0.32787970011122525,0.00020499628454456742,2,1.532107773982716e-14,0.7374999999999847
60.0,X:+->1,0.6642641770155082,0.7375,depolarizing,0.05,37.0,0.0006356298519148984,0.00020330145471407902,0.7368643701480851,0.751953125,0.75390625,0.7216796875,0.33542210003361106,0.00020521399362516402,3,3.574918139293004e-14,0.7374999999999643
