seed,model,variant,target_score,separable_lower,separable_upper,separable_bound_gap,certification_converged,certification_evaluations,certified_margin,certified_detected,witness_expectation_target,normalized_margin,estimated_boundary,boundary_error,pauli_cosine,fake_fidelity,fake_trace_distance,fake_negativity,target_output_mass,fake_output_mass,linearity_error,observable_norm,witness_norm,best_epoch,best_validation_gap,seconds,generator_parameters,discriminator_parameters
6,vqc,final,0.425337120458085,0.10348188244933071,0.10398188151689738,0.0004999990665666698,1,96878,0.32135523894118767,1,-0.32135523894118767,0.29415250403661836,0.37487139240609807,0.041538059072764755,0.9958243418875414,0.9124776015636206,0.2425833485562092,0.0,1.0,1.0,3.3306690738754696e-16,0.997184157481805,1.0924783387231778,1000,0.34658357825292185,46.42508960003033,80,48
7,qsnn,best,0.3366989055301479,0.1457409167917662,0.14624089296772944,0.0004999761749632237,1,100573,0.19045801256241848,1,-0.19045801256241848,0.23086441796485238,0.41431485220501396,0.08098151887168065,0.9888324795305241,0.8162235477371899,0.3665547323316415,0.0,0.9388011334078173,0.9316317277943332,3.3306690738754696e-16,0.7540494776182017,0.8249777693824368,920,0.19302355762579357,34.93099110014737,80,46
7,qsnn,final,0.34120067807175986,0.22539070728004346,0.22589066488092466,0.0004999575998811956,1,40289,0.1153100131908352,1,-0.1153100131908352,0.12532870837192553,0.48819224088783747,0.15485890755450415,0.9751469236285113,0.8319513969384805,0.33327823792260963,0.0,0.9401258512568849,0.9336428425211241,3.3306690738754696e-16,0.7664233665415126,0.9200606524136604,920,0.19302355762579357,34.93099110014737,80,46
7,vqc,best,0.4434914649163523,0.1711819127092255,0.17168190939612396,0.0004999966858984517,1,62726,0.27180955552022834,1,-0.27180955552022834,0.2362469381445428,0.4022897752157817,0.06895644188244837,0.9880445010152358,0.9178564285863485,0.25792309834361155,0.0,1.0,1.0,3.3306690738754696e-16,0.9947795489336085,1.1505315482816005,940,0.2861238144723066,46.33543810015544,80,48
7,vqc,final,0.4342781185799394,0.1780309032960356,0.17853089244921785,0.0004999891521822453,1,63847,0.25574722613072154,1,-0.25574722613072154,0.22152802797686494,0.41575173836579,0.08241840503245668,0.9883148264023554,0.9110071487844669,0.25796615241909443,0.0,0.9999999999999994,0.9999999999999998,3.3306690738754696e-16,0.992226899285265,1.1544689331926443,940,0.2861238144723066,46.33543810015544,80,48
8,qsnn,best,0.3192284532368455,0.10329758213312434,0.10379758014602161,0.0004999980118972625,1,91355,0.2154308730908239,1,-0.2154308730908239,0.2716740360144241,0.3930711689546349,0.05973783562130158,0.9943769751745756,0.7542199743018108,0.4172123247438119,0.0,0.939257093203659,0.9392681503779317,2.498001805406602e-16,0.7388624675815796,0.7929755682629384,800,0.23507992013241238,34.94646169990301,80,46
8,qsnn,final,0.32493944370260164,0.21407270848385146,0.21457269918251412,0.0004999906976626556,1,43899,0.11036674452008752,1,-0.11036674452008752,0.1157027248329148,0.4976371177440805,0.16430378441074717,0.9721879601254088,0.8563982686345091,0.32335810291742484,0.0,0.9441727942556237,0.9431603553850657,2.220446049250313e-16,0.774230482565672,0.953881982290971,800,0.23507992013241238,34.94646169990301,80,46
8,vqc,best,0.4339959312154555,0.13265270507062954,0.13315269854934852,0.0004999934777189796,1,116660,0.30084323266610696,1,-0.30084323266610696,0.2755261647504403,0.38244020400027734,0.049106870666944025,0.9943686783322949,0.94132707368566,0.22123431518144307,0.0,1.0,1.0,2.220446049250313e-16,0.9888833834591836,1.0918862567502357,1000,0.31564933689345165,46.42041889997199,80,48
8,vqc,final,0.4339959312154555,0.13265270507062954,0.13315269854934852,0.0004999934777189796,1,116660,0.30084323266610696,1,-0.30084323266610696,0.2755261647504403,0.38244020400027734,0.049106870666944025,0.9943686783322949,0.94132707368566,0.22123431518144307,0.0,1.0,1.0,2.220446049250313e-16,0.9888833834591836,1.0918862567502357,1000,0.31564933689345165,46.42041889997199,80,48
9,qsnn,best,0.3003357894489671,0.16274019711555046,0.16324019336343873,0.0004999962468882624,1,56744,0.13709559608552838,1,-0.13709559608552838,0.15842411276850035,0.46690796743827756,0.13357463410494425,0.9788027726758317,0.8183308024373726,0.40003580307368913,0.0,0.9387861619760396,0.9363094541220743,3.885780586188048e-16,0.7266347818689085,0.8653707676801788,780,0.1636093838080478,35.425808100029826,80,46
