update,old_loss_mean,new_loss_mean,delta_loss,old_test1_mean,new_test1_mean,delta_test1,old_test2_mean,new_test2_mean,delta_test2,old_test3_mean,new_test3_mean,delta_test3,old_test4_mean,new_test4_mean,delta_test4
33,0.23604517052090762,0.17645768721898397,-0.05958748330192365,0.4939102747643704,0.3081086004773776,-0.1858016742869928,0.4595429194040781,0.41993844707806904,-0.039604472326009055,0.8895471568353659,0.9375128269195556,0.04796567008418973,0.8971187333523439,0.9530064145723979,0.05588768122005394
34,0.23383839171381707,0.17500871419906616,-0.058829677514750905,0.492241345429181,0.3077699954311053,-0.18447134999807574,0.4577429706205666,0.4190528690814972,-0.03869010153906943,0.891206970732895,0.9388207077980042,0.047613737065109185,0.8988030845960719,0.9541786789894104,0.0553755943933385
35,0.23173416791479198,0.17362957795461018,-0.05810458996018181,0.49065454930459423,0.30746303300062816,-0.18319151630396607,0.45603013929848957,0.4182181020577749,-0.03781203724071469,0.8928035787326077,0.9400541543960571,0.04725057566344937,0.9004208311608742,0.9552809000015259,0.05486006884065164
36,0.22972629517767623,0.17231496969858806,-0.05741132547908817,0.48914591350705805,0.3071842476725578,-0.18196166583450024,0.45440039332125964,0.4174295554558436,-0.03697083786541605,0.8943416921822827,0.9412192980448405,0.04687760586255785,0.9019769316968718,0.9563190619150798,0.054342130218207996
37,0.22780885214038155,0.1710601011912028,-0.05674875094917875,0.4877115391592445,0.30693057030439375,-0.18078096885485073,0.45284971006503544,0.4166831026474635,-0.03616660741757194,0.8958253469122127,0.9423216819763184,0.046496335064105665,0.9034756562591163,0.9572985172271729,0.05382286096805655
38,0.22597621641282772,0.16986074844996135,-0.05611546796286637,0.48634760557239315,0.30669926752646764,-0.1796483380459255,0.45137409440041903,0.4159750252962112,-0.035399069104207814,0.8972580146730066,0.9433662215868632,0.04610820691385664,0.9049206986693007,0.9582240422566731,0.05330334358737243
39,0.22422307745821352,0.16871291399002075,-0.055510163468192764,0.48505038217080076,0.3064878836274147,-0.17856249854338607,0.4499696043476665,0.4153019577264786,-0.034667646621187875,0.898642701536934,0.9443573236465455,0.045714622109611414,0.9063152753576988,0.9590999007225036,0.05278462536480477
40,0.2225444436615074,0.16761314074198405,-0.05493130291952336,0.4838162438415544,0.3062942405541738,-0.1775220032873806,0.44863237896285924,0.4146608670552572,-0.03397151190760206,0.8999820326876085,0.94529896179835,0.04531692911074159,0.9076622103307541,0.959929891427358,0.052267681096603846
41,0.2209356430383396,0.1665582815806071,-0.054377361457732504,0.4826416865787041,0.30611636986335117,-0.17652531671535293,0.44735866473633806,0.4140490551789602,-0.033309609557377884,0.9012783238745797,0.9461947560310364,0.04491643215645669,0.9089640066980744,0.9607174913088481,0.05175348461077367
42,0.2193923181038082,0.16554537614186604,-0.053846941961942146,0.48152334139673697,0.3059525599082311,-0.17557078148850586,0.4461448382695293,0.41346404055754343,-0.03268079771198584,0.902533640449187,0.9470479130744934,0.044514272625306384,0.9102229057770723,0.9614658315976461,0.05124292582057377
